num,feature
159,"穴 が あっ たら 入れ たい の 間違い です か ？ 👀 
"
329,"はじめ さん お 疲れ 様 です 😫💦 
"
324,"稼げ ど 稼げ ど 足り ない ん だ けど 😡 なんて カッコ いい 事 言おう と 思っ たら 全然 稼い で ない だけ でし た 〜 … ﾁｸｼｮｰ 
"
787,"またまた 沢山 😳 
"
413,"109 日 目 。 17 章 クリア 報酬 で カーソス さん が 、 遠征 参加 権 獲得 ！ シェミーラ の 部屋 が でき た ！ ！ 入り江 って ダンジョン が 滅茶苦茶 難しく て 最高 に 面白い ！ ！ ！ … … ﾊｱﾊｱ 色々 一気 に 解放 来 て 頭 が 回ら ない ！ 嬉しい 悲鳴 です ね 😆 
"
191,"退社 👾 今日 は 時差 出勤 し た から 終わり 😁 
"
397,"いい って こと よ 😁👍 
"
698,"何 やら 結構 連番 で 余ら せ てる 人 TL で 見かけ ます が どう でしょう ？ チケット の 性質 上 サラッ と 手渡せる もの で は ない です が 😅 
"
114,"リン ちゃん ありがと ー 🥰 ！ ！ わあ あ ✨ 確か に むっ ちゃん が 隣 に 居 たら 、 助言 と か も し て くれる し 怖い もの 無し や 🌸 帰り の プチ デート ( ) 、 、 想像 し た だけ で ワクワク 🧡 あ ー ー 次 の 会議 いつ か な 、 、 楽しみ 😆🌸 
"
176,"出かける 時間 き て 朝 から 何 も 食べ て なかっ た から 死に そう 😇😇 
"
621,"ありがとう ござい ます 😊 毎年 春 に 向け て 、 いろいろ 考える の も 楽しい ん です よ ね ～ で も 寒く なる と 庭仕事 が おっくう に なり ます 😅 暑く て も そー です が 😋 
"
664,"ありがとう ござい ます 😊 そう です ね 、 みんな が やれる 事 を ♡ 
"
6,"あなた が 付き合う 結婚 する なら この 人 付き合う なら … 天凱 蠱毒 😇👿 来月 誕生 日 ＆ ﾌﾟﾁｷﾞﾌ 結婚 する なら … 桜宮 みるく 🍼🍬 youtube 開設 ！ あっ あっ … … 台所 死守 し なきゃ … … 
"
224,"とも さん 、 お 久し ぶり です ー ☺ 🙌 ✨ そう な ん です よ〜 😁👌 ありがとう ござい ます 😊💡 まだまだ 光ら せ たい の で 、 頑張り ます 🤗 ✨✨ 
"
896,"うめ ちゃん 、 こんにちは ！ いつ も ありがとう ござい ます 🥰💕💕 嬉しい です 😆 ✨✨ 午後 も 素敵 な 時間 を お 過ごし 下さい ね 😊 ❣ ️ ✨ 
"
259,"ま じ キ ノ どこ に 売っ て ん だ よ 😭🤣😤 
"
1731,"有難う ござい ます ˳॰̥ఇ ༘०॰˳ཻ̊ ✩ 日没 後 まで 粘っ た の は 初めて で 、 この パープル の 世界 が 撮れ て 大 満足 でし た ( *´▽`*)❀. 雲 が もう 少し 少なかっ たら 良かっ た なぁ と レタッチ を し ながら 贅沢 な 事 を … 
"
108,"朝 から 不調 で 、 不整 脈 と 動悸 で 心臓 が 痛く て 息 吸う の も 不快 😫 昼寝 で 熟睡 し て た し 😪 気晴らし に クレープ 屋 さん 行っ て き た 🍓 甘い 物 が やめ られ ない 季節 😇 
"
630,"びっくり し ます ね 😳 明日 買える か 分から ない です 😅 
"
80,"圧倒 的 全力 待機 😝 【 緊急 スプラ 配信 】 チーム 日向 坂 が やっ て き た ！ 本編 出演 を 目指し 猛 特訓 🔥 【 スプラトゥーン ２ 】 
"
579,"ペネロペ は 子ども が よく TV で 見 て い て 素朴 な 感じ が 可愛く て 好き です ☺ ️💕 ペネロペ の 🍇 ぶどう 入り ポテト サラダ は ポテサラ に ぶどう を 入れる の と カレー 風味 が アクセント に なっ て い て 可愛い だけ で なく 、 … 
"
39,"10 回 キュン と し ます 💕 何 より 何 より 釘付け に なっ た の は 椅子 に 座っ て 丸く なっ て あれ を し てる とこ 😭 スタッフ 様 、 あそこ を 撮っ て くれ て メイキング に 入れ て くれ て ありがとう ござい ます ✨✨ 今日 も 嵐 が 大好き だ 😭 何 度 も 観 て 細かい ところ も 見つけ て いき たい な 😊 （ ウィキポンダンス も 好き 💚 ） 
"
570,"わかり ます 〜 😢 頻繁 に 他 の 方 の リ ツイート と か は し てる の に 、 こちら も ツイート に アクション し てる けど フォロバ し て くれ ない 人 意外 に 多い です よ ね 😢 
"
268,"😁 いい だろ 😁 
"
1045,"あぁ ぁ ぁ ぁ ぁ ぁ 〜❣ ️😆 美味し そう 🤣🤣 
"
440,"作業 配信 する って 言っ て た けど 無理 そう 〜 〜 😭😭 ごめん なさい 😢 
"
747,"CASH に パパ に と いつ も お 疲れ 様 です ！ ！ 楽しん で 来 て ください ねー 😃🌈 ✨✨✨ 
"
332,"分かる 気 が し ます ！ 弾き たく て 気 が 済ま なく なる とき あり ます 😁 
"
248,"すぐ 変 な とこ 想像 する や ん 😃 
"
246,"分かる ❤ 遠征 組 の 時 より 千 葉 越し て から やばい 😱 
"
118,"とりあえず いつ も の お 部屋 で 10 分 ほど 😪💤 ちょっと だけ スッキリ 
"
880,"今 まで に なかっ た 感じ で 焦っ た よ ～ 😭 破水 じゃ なく て 良かっ た … 😫💦 あと 少し 辛抱 だ ね ！ 怖い けど 頑張る ✨ 
"
1102,"わかる … しかも 色落ち し て き た っぽい し 😇 乾かし たら もう パサパサ … です 笑 それ は すごい 能力 だ ね ！ ！ 笑 
"
3,"😤 コース パーツ しか 買え ない ス タコ 5000 枚 欲しい です w 
"
669,"資格 取得 者 の ネット 学習 めんど くさい 😢 
"
154,"ピンク と か の ワンピ 着 て 欲しい なぁ 😍 可愛い よ 💗 ウチ は アトリエ 風音 の クッキー ママ ちゃん に お 願い し てる の ひめ が 昨年 手術 し て から 　 痩せ た の で 　 冬 の お 洋服 また 　 お 願い し てる の 😅 待ち遠しい わ 💗😆 
"
490,"その 通り です よ ね 。 そこ だけ が 出力 上がら ん の なら 、 パワコン 自体 て こと に なる 。 パワコン を 振り替え し て どう なる か です ね ^_^ 結果 楽しみ に し て ます ☆ 😋 
"
666,"トランプ 〜 😢😔 Elections 2020 TrumpvsBiden 
"
257,"バニラ 、 いちご 、 あと 何 混ぜる ？ 🤣 あ 、 もちろん ぺん ちゃん で やる ん で ？ 😇 
"
227,"体 は いい 歳 し た 大人 で も 、 心 は ５ 歳 以下 の 女児 な の で お 絵描き 偉い ねー と か すごい ね ！ って 褒め られる と 凄く 嬉しい です 😭🙏💕 シリーズ は 最初 から 最後 まで どう 描く か 決め て から 書か ない と 描け ない と 思い知らさ れ まし た … 
"
472,"ボサボサ 🤣🤣 パッ と 見 そう 見える か も 😆 
"
1061,"75 ふん 😇 
"
226,"ひと さ ちゃん ❤ ︎ アンニョン 💜 この テテ 見 て たら 、 冬 来 た ね 〜❄ ️ って 感じ だ ね〜 😆 朝晩 冷え て き た もん ね 😱 風邪 ひか ない 様 に ね 💜 
"
979,"仕事 詰まっ て き た から 明日 から 本気 出さ なきゃ きっと 間に合わ ない … 🤦💦 
"
284,"Lio さん ありがとう ござい ます 😊 もったい ぶる よう な 顔面 で は ない の で ちょい 出し し て み まし た 😂 新しい トレ 着 パツ パツ に する くらい 頑張り ます 😆 
"
701,"大引け 乙 でし た 。 相場 の イケイケ 感 が スゴい です ね 。 自分 は もう 少し 様子 見 て から in しよう か と 思い ます 、 バブル 続い てる と 良い の です が 😅 
"
905,"ペニンシュラ いい なぁ 😊 就活 お 疲れ さま でし た 。 ゆっくり し て いっ て ください 。 お 茶 し ます か ？ 😆 
"
128,"夜 に 寝れ て も 寝れ なく て も 、 出かけ て も 出かけ なく て も 午後 に 一 度 眠く なる ん だ な 😪 
"
1915,"こんな ボケ た お じい ちゃん を 大統領 に しよう って … アメリカ は だいぶ ヤバイ 💦 核 の ボタン 持た せる ん や で 💧 
"
82,"社会 人 なら 許可 とる 前 に 私 の アドレス を 他 の 人 に 晒す ん じゃ ない よ ー 😡 何 年 生き てる ん だ よー おまえ ー 
"
42,"きつ なさん 僕 も twst の フレンド 登録 お 願い し ます 😆 
"
141,"羽 って 低い 位置 ( 腰 辺り ) に 付い てる と 何故 だらしなく 見える ん だろう 😈 
"
312,"そう な ん です ね ！ 😊 
"
426,"全然 やっ て なく て も 天 でしょう 😓 天 の 人 と まとも に 対戦 し た こと ない です よ 😱 時間 が 合え ば よろしく お 願い し ます 🙇 
"
78,"月 ちゃん はじめ まして って 言っ たら 高速 カリカリ & amp ; ハイ タッチ の サービス し て くれ まし た ！ かわいい 😍 ✨ いしかわ 動物 園 
"
512,"砂糖 の 代わり に コーラ 使っ て こ 🥺🥺💦💦 
"
26,"それ も 経験 です よ 。 おかげ で 今 は 見る 目 が 鍛え られ た ん じゃ ない です か 😝 
"
1222,"お 疲れ 様 😆🎵🎵 可愛い お 姫 様 ☺ ️ ♥ ️ 
"
779,"え〜 😱 
"
83,"香 咲 先生 の ハロウィン 色紙 今日 届き まし た 〜 ！ ！ ！ 😳💕 ✨✨( どこ まで 見せ て いい もの か わから なかっ た の で とりあえず ここ まで で 、 、 ) めちゃめちゃ 可愛い 絵 を 本当 に ありがとう ござい ます 大切 に し ます ！ ！ 😭💦🙏 
"
821,"購入 者 から の 問い合わせ 丸 1 日 スルー し て しまっ て い た 💦 セラセンアプリ から も 通知 さ れ て た けど 、 他 の アプリ の 通知 に 埋もれ て い た … 気 を つけ ね ば … とり ま 、 通知 欄 を 一括 消去 し とこっ と ♻ ️ 
"
44,"です ね 😊 明日 も 期待 です ‼ ️ 
"
730,"大きく 深 呼吸 し たく なる 😊 パワー 吸収 し まし た 🤩🙏 
"
237,"やっぱり 怖い です ね 😭 もう 何 を 信じ たら 良い の か わから ない 笑 
"
1610,"アタイ も ヨンジュン と 同じく センシティブ と か し ぬ 〜 😄💖 ← 死ん で ください 気分 は ママ を 待っ てる 保育 園 児 だ よ 😄💦 
"
2179,"毎日 の 課題 😂💦 
"
528,"そんな 狭い 道 は 走ら ない 😅 それ より 、 交差 点 を 曲がる とき に ふくらむ 車 が 多い から 、 大型 車 運転 し てる と 怖い です ね 😂 
"
1682,"ソロ ポスター まで ある と か 聞い て ない す ん みん くん の 日 まで に 遺書 書か ない と 💦💦💦💦 
"
471,"ナイトメア 始まっ て 終わる まで 取れ なかっ た ビクロイ 久々 に 昨日 取っ た 😫 武器 ない の に アイアン マン の ジェット パック だけ 手 に 入れ て 遊ん で た の 意味 わから ん あと 船 で 攻撃 し て た だけ 
"
382,"なに ？ 😇😇😇😇 
"
481,"えー ！ 😱 お 大事 に し て ください ！ 
"
1115,"いま まで が 299 キロ だっ た クルマ も 突破 間違い ない です ね 😇 
"
145,"以前 の よう に 1 人 で 食べる の は 、 仲間 内 で 目立っ て しまい 都合 が 悪い よう です 。 最近 は 5 〜 6 羽 で 来 ます が 食べ られ ませ ん 💦 な の で 、 朝 の 内 に そっと 1 人 で 来 ます が 、 途中 で バレ て しまい ます 😣 苦戦 し て い ます 😢 
"
116,"優しく て も 痛い です よ ね 😢😢😢 3 回 刺し なおさ れ た こと あり ます 🤦 ‍♀ ️ 
"
691,"真っ赤 じゃ なく 晴天 です けど ね 😅 
"
832,"お 疲れ 様 です 😊 
"
142,"( ゜ Д ゜ ) ｱｯ ! ? そう な の ね 😳 ！ 突然 、 ビックリ し まし た ( 笑 ) マック の アップル パイ 美味しい よ ね 😋 
"
120,"私 は 知っ て た けど 食後 に 飲ん でる よ w 食後 で も 大丈夫 って 言わ れ た よ 😃 食前 に 飲む の が 一番 な ん だろう けど 😵 
"
205,"１日 １ 回 ちょびっ と 音楽 今日 は 川崎 鷹也 さん の 魔法 の 絨毯 大好き で 練習 し てる けど イントロ が 難し すぎる 〜 😱 指 が〜 😱 練習 頑張っ て 、 いつ か は 綺麗 に 弾け ます よう に 〜 🙏💚 皆 さん に とっ て 今日 も １日 キラハピ day と なり ます よ … 
"
277,"カレー うどん 美味しい です よ ね 😋🍴 
"
764,"20 人 目 ガフガリオン … ！ ！ 彼 の クリスタル を 取る こと で ラム ザ 覚醒 ！ ！ ！ ？ これ は 更に 凄い エ モ み です ね ！ ！ 😱😱😱 こ 、 この 設定 で やっ て み たい ！ 最高 です … 🙏🙏🙏 だいたい あそこ に 行く まで に 、 ラム ザ の 20 人 殺傷 終わっ てる から 調整 し ない と 😂 ✨ w 
"
233,"お 疲れ 様 です 🙇 ‍♂ ️ 僕 の グッ カーズ が 映っ て い て 嬉しい です 😭💕 
"
399,"ありがとう ござい ます ！ 😊 いつ も なら メッキ に かえ て ね … と なる の です が 、 勉強 がてら どこ まで 綺麗 に なる の か 実験 し て みよう と 思い ます 。 😃 
"
29,"目覚め から 嬉しい って いい ね 💕😊 
"
319,"どー し たら 、 いー ん だ ー 💦 
"
440,"児玉 さん ありがとう ござい ます 🙇 ‍♀ ️ お 手数 です が 、 ＤＭ で よろしく お 願い 致し ます 😃 
"
448,"忘れ ない よう に 頑張る … … … わかる ！ ！ ！ ！ これ から も あ ん スタ に お 金 落とす から 頼む ！ ！ ！ ！ 🙏😳🙏 
"
783,"いや〜 「 ヒロシ です 」 で 月収 4000 万 円 まで いっ て から 、 テレビ 界 から 離れ て どん底 まで 落ち て 、 苦しい けど 腐り は せ ず 、 長い こと 地道 に 色々 と 種 を 撒い た 結果 花開い た 「 ソロ キャンプ 」 。 この 脅威 の Ｖ 字 回復 凄く ない ？ ！ 😳 ヒロシ さん は ただ の ネガティブ じゃ なく 、 反骨 精神 、 パンクス だ わ ！ カッケ ー ！ 😆 
"
532,"園田 10 R 勝負 レース 🔥🔥 モズファヴォリート 　 → 1 着 ✨✨ 12 番 が 人気 吸っ て た おかげ で 単勝 おいしかっ た 😋 相手 堅かっ た です 😿 上手く 乗れ た 方 お めでとう ござい ます 
"
256,"なな きち ᵔ̴̶̤᷄ ∇⃚⃘⃙ ̮ ᵔ̴̶̤᷅ ) ｷ ” ｬ ′‵′‵ 💦 
"
800,"わかる よ ！ 笑 めっちゃ 見 にくい よ ね 💦 前 の 方 が 良かっ た 🥺 
"
,text
319,"癒し を 与える 写真 だ な 😁 これ は 元気 を 出し て 頑張ら ない と 罰 が 当たり そう だ 。 
"
404,"夜 まで 授業 今日 で 終わり な の で 頑張り ます 😢 
"
1398,"そ ぉ な ん です ね 💦 一 度 も オン ライン 利用 し た こと ない の で 必要 事項 入力 し てる だけ で 終わり そう です ね 😂 
"
10,"めい さん 、 いつ も 遊ん で もらっ て ありがとう ござい ます 🕊 お 返し し て もらう 程 の 事 出来 て ない の で 当たっ たら いっぱい Xmas ケーキ 食べ て ください 😆 ✨ いつ も ありがとう ござい ます 🕊 
"
175,"か なぁ あ ！ ！ センス ？ ！ ない よ 😳 かな の そ さん の イラスト すごい な って 思っ た … … 神 絵師 すぎ て 私 なんか が 繋がっ て いい の か と 😭 
"
351,"今日 の 夕餉 は 鍋 です よ 😋 
"
512,"2 年間 勤め た 後 、 サークル の 先輩 だっ た 主人 と 結婚 。 曲作り 大好き な の は 承知 し て もらっ てる の で 童謡 の 季刊 誌 や 色々 な ところ に 投稿 し たり 🎶 子供 が 2 歳 の 時 、 主人 が カセット テープ の 多重 録音 機材 と シンセ と リズム プログラマー を 購入 🎶 自分 で やり たかっ た みたい だ けど 、 ド はまり し た の は 私 でし た 😅🎶 
"
571,"本日 の 配信 時間 を 17 : 00 開始 と ご 案内 し まし た が 、 18 時 前後 の 開始 に 変更 し ます 。 本日 は １ 回 のみ の 配信 と なり ます 。 洋楽 ・ 邦楽 ・ 自作 曲 の 演奏 と MC で お 楽しみ ください 。 お 待ち し て おり まー す 😃🤚 LIVE 812 アプリ ダウンロード は こちら … 
"
901,"特に 何 か あっ と いう わけ で は ない です ね 。 ただ 、 公式 と 熱狂 的 ファン の ノリ が キツ すぎ て 自分 に は 合い ませ ん でし た 💦 熱狂 的 ファン に 当たる こと を 考える と 大会 に 出 たい と 思え ない の で 、 自分 の 中 で 遊ぶ 理由 が なくなっ ちゃっ た 感じ です 。 
"
1253,"シュウウエムラ の ワン ピース コラボ 普通 に 売っ て まし た 。 毎年 クリスマス コフレ は 予約 で 埋まる の で 、 今年 は パレット が ど ストレート の アニメ 柄 だ から 、 もし か し て 敬遠 さ れ た の か な ？ 💦 
"
344,"とりあえず ドングアップ の 申請 ？ し て み た けど アプリ だ と 何 書い てる か わかん ない から サイト の 方 消さ ない よう に 気 を つけ ない と 💦 
"
373,"数 ヶ月 前 に 、 自分 の 最期 の 準備 と 貯金 の つもり で 、 冠婚 葬祭 の 互助 会 に 入っ た 。 そ し たら 、 こんな ん も ある の ね ( 笑 ) 日ハム の ケーキ あっ たら 、 頼ん だ の に 💦 
"
186,"ガッツ 😤😤😤 
"
223,"まさか オリバー ソース さん に 無茶 ぶり できる と は 思い ませ ん でし た 😁 
"
1580,"で ん さん 、 それ は 辛かっ た です ね 😭💦 63 個 とれ た って こと は 最低 で も 63 回 刺し てる の で ほんと 、 めちゃくちゃ お 疲れ 様 です 💦 ゆっくり し まくっ て ください ね 🙏💦 採卵 後 3 日 目 が ピーク な ん で 😢 
"
770,"わか ん ね 💦 
"
599,"アイコン の 猫 ちゃん は 壁紙 から 取っ た もの です 💦 ウチ の は アメ ショ でし た 。 　 　 また いつ か 会える と 信じ て その 日 まで 生き て 行き ます 😢 
"
288,"今 コンビニ で 3 円 の 袋 買っ た おば さん が ｢ お 金 払っ てる ん だ から 1 番 大きい やつ に 入れ なさい よ ！ ！ 😡 ｣ って 言っ て 怒っ て た ん だ けど 、 馬鹿 だ な って 思い ながら 少し だけ 確か に って 思っ て しまっ た ↓ ↓ ↓ 
"
523,"ファン から 質問 大 募集 って 、 まだ 25 周年 祭り は 終わり じゃ なかっ た こと で いい です か ？ 😆 
"
138,"縁起 いい か も ❇ 👀 
"
983,"今日 から 久々 に 腕 時計 を し て ます ❗ ️ 超 珍品 😆 
"
2116,"モイ ！ iPhone から キャス 配信 中 - ☀ ( *¯ ㅿ ¯*) 暑 っ 💦 
"
159,"ワン パン で 乙 る の めちゃくちゃ 面白かっ た 早く やり たい です 😍 
"
653,"人 ❓ 🤔 人人 人人 . . . . 💡 ゴジラ の 尻尾 だ ❣ ️😆 
"
239,"やっ て も た ー 😫 なん で 明日 に し た ん や 😭 明日 は M ステ やん ‼ ️ M ステ は 録画 で あと から 見よう 😔 私 は アラ フェス の お かわり を 見 ます ☺ ️ 
"
174,"イン スタ で フレディ の 公式 さん が 上げ て た 動画 、 39 歳 の お 誕生 日 に つい て 。 ジャーナリスト の David Wigg さん も 登場 。 ずっと David さん か 俳優 の Kurt さん どちら な の か 謎 だっ た 青 ドレス の 御 御足 は 、 これ 見る と 俳優 の kurt raa … 
"
284,"ぽちゃ って き てる 私 見 て も スポーツ クラブ 行け って 言わ ない し ね 😢 ほんと 優しい 😂 既 彼 ～ 😂 ❤❤❤ 
"
57,"れお っ ち ー ！ お 肌 の 調子 を 整える って 意味 で は ニキビ ケア に も なる と 思う ！ 是非 😊🌟🌟 
"
289,"やっぱ 楽しみ が なくなる の は 寂しい すね 😢 
"
743,"ひたすら デザイン し て 、 コーディング し て デザイン し てる と コーディング が 忘れ て き て 。 コーディング し てる と アドベ ツール 忘れ て き て … . まだまだ 繰り返し 使い こなす よう です ね … 今日 も やる だけ … 天気 良く て 働き たく ない ぜ 😅 そもそも 、 公休 日 そんな 日 も ある よ ね 
"
155,"好み って の も ある けど 、 この ところ 写真 の レベル が 上がっ て ない ？ 😳 
"
139,"です 😢 
"
12,"お つむじ ビーム ！ ！ ( 自己 主張 強め ) 🤟😈 プロ 悪魔 様 に ご 連絡 いたし 魔 す m (_ _) m 顔 より 太もも 　 と いう けしから ん スロ 台 が ある そう です 。 是非 とも 秋 の 夜長 に プロ 悪魔 様 の 手 クニック で 愛で て やっ てく だ さう 。 なお 、 拙者 は また 遭遇 も し て おり 魔 せ ぬ orz . 
"
619,"はい ！ 😆 じゅんじゅん さん は 何 日 に 見る 予定 な の ？ 
"
321,"そう いや 昨日 な 、 純水 精霊 ソロ れる こと が 分かっ た の だ 。 世界 ランク ５ 。 火 2 体 入れ て 火力 上げ て 、 回復 1 人 雷 1 人 で いけ た 😊🎉🎉 
"
394,"スマホ が やばい よ ー 😱 朝 、 FREEZE し た まま 、 やっと さっき 動い た 。 😅 どんどん 、 熱く なっ て 燃える の か と 思っ た 。 取り敢えず 、 やっ て は 駄目 だ と 思う けど 保冷 剤 を タオル に 包ん で 冷やし た 。 復活 😁 バッテリー の 持ち も 悪く なっ た から 、 寿命 か な ？ 🤔 
"
24,"ついに ！ 眠い 😪 サイン が わかる よう に なっ た 。 抱っこ し て ベビー ベッド 連れ て いく と すぐ 寝 て くれる 今 まで 🍼 か オムツ しか 頭 に なく て 泣か せ っぱなし が 多かっ た けど 。 コツ を 掴む と 楽 だ ね 🙂 ✨ 
"
191,"おはよう ござい ます 😈 
"
812,"聖書 は 天 の 母 の 存在 を 証し て い ます ！ 天 の 父 だけ で は なく 、 天 の 母 も 信じ て こそ 救い を 受け られ ます 。 😊 神 様 の 教会 世界 福音 宣教 協会 天 の 母 母 なる 神 様 WMSCOG … 
"
499,"さっぱり し て て すごい 美味しかっ た 😋 
"
550,"え ？ （ 人気 の ） 入れ替わり もの だ と ！ ？ 転校 生 な グルグル 落ち か なぁ ？ しかも ・ ・ ・ 男女 な 上 に 犯人 と 刑事 が ！ ？ それ ・ ・ ・ どう する だぁ 😱 最後 に は 仲良し に なっ ちゃう ！ ？ ラブ ？ また 、 一生 くん の 可愛い の が 見れる な ～ 女子 に なる ん だ ～ 🤣🎉 … 
"
956,"出勤 し た よ 〜〜！⭐ 上 を 忘れ た の で 友達 に 借り まし た 💦 明日 お 休み だ から まっ て ます 〜 〜 ！ みゆ ナチュラ リア 赤坂 
"
584,"一昨 日 ここ 10 年 で の 最高 体重 を 叩き出し て しまっ て 、 食事 を 見直し たら 、 本日 - ２ キロ むくみ が 1 日 で どう に か なら なく なっ てる って こと だ よ ね 😅💦 体 を 理解 し て 向き合わ ない と ！ 
"
499,"ら き ちゃん は 皆 の アイドル な ん で 、 自分 から なかなか お 声がけ でき ない の で 😊 な の で 、 嬉しかっ た です 😊 
"
125,"ま いう 〜 😳 
"
262,"オ フロ ずるい っ 😡 
"
2149,"炎上 し てる の 全く 知ら なく て さっき 色々 見 て き まし た 😅 すごく 綺麗 な 絵 な ん です が 女性 向け の 商品 に 使う の は どう か な と 思う やつ が あり まし た 😂💦💦💦 
"
18,"今日 の 夜 また 募集 し ます 💌🍀 今月 は イベント ボーナス ✨✨ ＼ 報酬 ＋ イベント ボーナス ／ 👀💓 お 楽しみ に ！ ！ 副業 副業 探し て い ます 副業 ジャニヲタ 在宅 ワーク 権利 収入 不労 所得 
"
239,"基準 値 って 病院 に よっ て 違う ん です ね 💦 私 の 病院 の 基準 値 は A 1 c 6 . 2 で 空腹 時 血糖 値 109 です 。 🤣🤣🤣 
"
528,"生姜 が 効い て て 、 美味し そう 😋 
"
91,"そう か そうか … … 何 か いい 方法 が ある と いい な … 😢💦 よく なる もの も よく なら ない よ な … 
"
926,"本日 FM ヨコハマ Tresen たっ ちゃん しん ちゃん の ご きげん ラジオ コーナー に ゲスト DEEP SQUAD さん を お 招き いたし ます 😆 18 時 20 分 過ぎ から お 楽しみ に です ！ 新曲 Good Love Your Love ❣ ️ グッラグッラー の メロ … 
"
23,"🌸 アメリカ 大統領 選 当選 し まし た 🌸 大統領 選 当選 し まし た 😆 ほんと に 最後 まで どう なる か 分から なく て ずっと ドキドキ し て た 😭 特に カリフォルニア 州 は ほんと に 僅差 で 開票 中 は 緊張 で 動け なかっ た 😭 「 お前 に は 無理 だ 」 と か 言わ れ て 辛かっ た け … 
"
530,"過去 の 経験 を 味方 に する 10 年 前 の あなた を 思い出し て どんな 一 年 でし た か ？ その 時 の アドバイス は あり ます か ？ 2010 年 は 庚寅 年 2020 年 は 庚子 年 50 % 予習 を し て ます ２ 月 ３ 日 まで 東洋 占術 で は 今年 あと 4 ヶ月 どう 開運 し てく か を … 
"
95,"ごめん なさい 🙏 Twitter で しか 会話 が 出来 ない ん です 😝 
"
559,"100 点 です 😆 亀 犬 と 、 ちくわ デラックス を どうぞ 😎😎😎😋 。 
"
34,"バイデン 側 の 不正 ⇒ バレバレ です 😤 
"
198,"私 も 生まれつき な ん です が 、 クマ 酷い です 😱😱 すっぴん は かなり 顔色 悪い です よ ～ ！ 泣 
"
854,"急遽 鬼 滅 2 回 目 観 に 行っ て くる わ 😇😇😇 
"
1255,"暑い 熱い 😆 
"
242,"今 、 トイレ に 行っ たら 生理 に なっ て た … … 😫😫😫 マジ で 、 ヤダ … … 😫😫😣 (；〰；) ﾂﾗﾀﾝ … … 😩😩😫 だ から 、 さっき 勉強 し てる 時 に だるかっ た ん だ 〜 … … 。 納得 し た わ … … www 
"
1109,"もう 積雪 し た ん です か 。 こっち は 11 月 中 は まだ 何 と か 乗ろう と 思い ます 👍 で も 、 日陰 に 入る と かなり 寒く て 震え ます 😅💦 
"
445,"なるほど ！ そう いっ た こと が 関係 し て くる の です ね 😳 参考 に さ せ て いただき ます 🙇 ‍♀ ️ ありがとう ござい まし た 😊 
"
696,"今日 スイーツ 入る 時間 に シフト だっ た ん だ けど 恋 あた の シュー クリーム 1 時間 も し ない うち に 売り切れ た 😳 9 個 しか 入れ られ ない の は 少な すぎる 、 舐め てる 笑 　 そりゃあ 売り切れ に も なる わ な そんな 中 私 は 一 個 とっ とい た の で 無事 買え まし た ◎ 試食 食べ て も 食べ たい ！ 
"
